title,Conference,Type,virtualsite_url,domain/subject,MLTech,openreview_link
FNP: Fourier Neural Processes for Arbitrary-Resolution Data Assimilation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96630,earth_climate,neural_process;fourier_transform;probabilistic_model,https://openreview.net/forum?id=4rrNcsVPDm
WeatherGFT: Generalizing Weather Forecast to Fine-grained Temporal Scales via Physics-AI Hybrid Modeling,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93990,earth_climate,hybrid_physics_model;PDE_kernel;neural_network,https://openreview.net/forum?id=ioAlzcELTf
Fourier Amplitude and Correlation Loss: Beyond Using L2 Loss for Skillful Precipitation Nowcasting,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96922,earth_climate,convolutional_network;fourier_loss;video_prediction,https://openreview.net/forum?id=0aN7VWwp4g
FIDE: Frequency-Inflated Conditional Diffusion Model for Extreme-Aware Time Series Generation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96595,earth_climate,diffusion_model;frequency_domain_model,https://openreview.net/forum?id=5HQhYiGnYb
Generative Modeling of Molecular Dynamics Trajectories,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93022,chemistry,diffusion_like_generative;autoregressive_model,https://openreview.net/forum?id=yRRCH1OsGW
MolPhenix: Contrastive PhenoMolecular Retrieval (MolPhenix),NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95593,biology,contrastive_learning;dual_encoder,https://openreview.net/forum?id=LQBlSGeOGm
HEST-1k: A Dataset For Spatial Transcriptomics and Histology Image Analysis,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97514,biology,dataset;multimodal_fusion;representation_learning,https://openreview.net/forum?id=mlhFJE7PKo
GENOT: Entropic (Gromov) Wasserstein Flow Matching with Applications to Single-Cell Genomics,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94046,biology,optimal_transport;flow_matching;diffusion_process,https://openreview.net/forum?id=hjspWd7jvg
HEALNet: Multimodal Fusion for Heterogeneous Biomedical Data,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95829,medical_healthcare,attention_fusion;multimodal_network,https://openreview.net/forum?id=HUxtJcQpDS
GIC: Gaussian-Informed Continuum for Physical Property Identification and Simulation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95099,materials,3d_gaussian_representation;inverse_problem_modeling,https://openreview.net/forum?id=SSCtCq2MH2
Fisher-Flow: Fisher Flow Matching for Generative Modeling over Discrete Data,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96502,biology,flow_matching;riemannian_geometry,https://openreview.net/forum?id=6jOScqwdHU
PocketFlow (Protein-Ligand Interaction Priors for Pocket Generation),NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94801,chemistry,flow_matching;structure_guided_model,https://openreview.net/forum?id=WyVTj77KEV
FouRA: Fourier Low-Rank Adaptation (Applied to Vision Tasks with Potential Scientific Imaging),NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93511,unknown,low_rank_adaptation;frequency_projection,https://openreview.net/forum?id=qCJ1dq5M7N
FALCON Benchmark: Few-shot Algorithms for Consistent Neural Decoding,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97780,multidisciplinary,benchmark;few_shot_learning,
Gaussian Process Bandits for Top-k Recommendations (Not Scientific Object),NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96620,unknown,gaussian_process;bandit_algorithm,https://openreview.net/forum?id=50nEnmVLRb
Gaussian Voxel Kernel Functions for Highly Efficient Surface Reconstruction in Open Scenes,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96090,physics,kernel_regression;3d_gaussian_splatting,https://openreview.net/forum?id=DQD0DNRjxk
PocketFlow (Keep highest confidence entry only),NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94801,chemistry,flow_matching;equivariant_network,https://openreview.net/forum?id=WyVTj77KEV
Generative Fractional Diffusion Models (Applied to image data only),NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96210,unknown,diffusion_model;fractional_brownian_motion,https://openreview.net/forum?id=B9qg3wo75g
FlowLLM (Duplicate handling note),NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96921,materials,flow_matching;LLM_guided_generation,https://openreview.net/forum?id=0bFXbEMz8e
P^2C^2Net: PDE-Preserved Coarse Correction Network for efficient prediction of spatiotemporal dynamics,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93729,physics,neural_network,https://openreview.net/forum?id=motImXq3B1
PACE: Pacing Operator Learning to Accurate Optical Field Simulation for Complicated Photonic Devices,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93270,physics,neural_network,https://openreview.net/forum?id=uXJlgkWdcI
Parallel Backpropagation for Shared-Feature Visualization,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95371,neuroscience,neural_network,https://openreview.net/forum?id=OQzCSb6fbl
Parametric model reduction of mean-field and stochastic systems via higher-order action matching,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93463,physics,neural_network,https://openreview.net/forum?id=qyaz3XP0FN
PEACE: A Dataset of Pharmaceutical Care for Cancer Pain Analgesia Evaluation and Medication Decision,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97596,medical_healthcare,,https://openreview.net/forum?id=dBSoa8fpV7
Personalized Adapter for Large Meteorology Model on Devices: Towards Weather Foundation Models,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93804,earth_climate,transformer,https://openreview.net/forum?id=llTroju97T
PhoCoLens: Photorealistic and Consistent Reconstruction in Lensless Imaging,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94767,physics,diffusion_model,https://openreview.net/forum?id=XUAcPEaeBU
PhyloGen: Language Model-Enhanced Phylogenetic Inference via Graph Structure Generation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95863,biology,transformer,https://openreview.net/forum?id=GxvDsFArxY
Physical Consistency Bridges Heterogeneous Data in Molecular Multi-Task Learning,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95877,chemistry,neural_network,https://openreview.net/forum?id=GnF9tavqgc
Physics-Informed Neural Networks for Functional Differential Equations: Cylindrical Approximation and Its Convergence Guarantees,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95857,math,neural_network,https://openreview.net/forum?id=H5z0XqEX57
Physics-Informed Regularization for Domain-Agnostic Dynamical System Modeling,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94000,physics,neural_network,https://openreview.net/forum?id=iWlqbNE8P7
Physics-Informed Variational State-Space Gaussian Processes,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93352,physics,gaussian_process,https://openreview.net/forum?id=tCf7S75xFa
Physics-Regularized Multi-Modal Image Assimilation for Brain Tumor Localization,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94680,medical_healthcare,neural_network,https://openreview.net/forum?id=YfVMcbcDqo
PINNacle: A Comprehensive Benchmark of Physics-Informed Neural Networks for Solving PDEs,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97621,physics,neural_network,https://openreview.net/forum?id=aekfb95slj
Poseidon: Efficient Foundation Models for PDEs,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95731,physics,transformer,https://openreview.net/forum?id=JC1VKK3UXk
PowerPM: Foundation Model for Power Systems,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95723,physics,transformer,https://openreview.net/forum?id=JInTfcxH3Q
Precipitation Downscaling with Spatiotemporal Video Diffusion,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94049,earth_climate,diffusion_model,https://openreview.net/forum?id=hhnkH8ex5d
Predicting Future Actions of Reinforcement Learning Agents,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95219,math,,https://openreview.net/forum?id=QgaGs7peYe
Predicting Ground State Properties: Constant Sample Complexity and Deep Learning Algorithms,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93006,physics,neural_network,https://openreview.net/forum?id=ybLXvqJyQA
Pretraining Codomain Attention Neural Operators for Solving Multiphysics PDEs,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93155,physics,transformer,https://openreview.net/forum?id=wSpIdUXZYX
Principled Probabilistic Imaging using Diffusion Models as Plug-and-Play Priors,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94741,physics,diffusion_model,https://openreview.net/forum?id=Xq9HQf7VNV
Probabilistic Weather Forecasting with Hierarchical Graph Neural Networks,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93149,earth_climate,graph_neural_network,https://openreview.net/forum?id=wTIzpqX121
Probablistic Emulation of a Global Climate Model with Spherical DYffusion,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95762,earth_climate,diffusion_model,https://openreview.net/forum?id=Ib2iHIJRTh
Propensity Score Alignment of Unpaired Multimodal Data,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94067,biology,neural_network,https://openreview.net/forum?id=hT4y7D2o2T
PROSPECT PTMs: Rich Labeled Tandem Mass Spectrometry Dataset of Modified Peptides for Machine Learning in Proteomics,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97558,biology,,https://openreview.net/forum?id=iDg6ktCf6W
ProSST: Protein Language Modeling with Quantized Structure and Disentangled Attention,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96656,biology,transformer,https://openreview.net/forum?id=4Z7RZixpJQ
Protein-Nucleic Acid Complex Modeling with Frame Averaging Transformer,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94745,biology,transformer,https://openreview.net/forum?id=Xngi3Z3wkN
ProtGO: Function-Guided Protein Modeling for Unified Representation Learning,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96904,biology,graph_neural_network,https://openreview.net/forum?id=0oUutV92YF
Proving Theorems Recursively,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93034,math,transformer,https://openreview.net/forum?id=yAa5l92TtQ
Quadratic Quantum Variational Monte Carlo,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93844,physics,variational_quantum_algorithm,https://openreview.net/forum?id=lDtABI541U
R$^2$-Gaussian: Rectifying Radiative Gaussian Splatting for Tomographic Reconstruction,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94214,medical_healthcare,neural_network,https://openreview.net/forum?id=fMWrTAe5Iy
Randomized Sparse Matrix Compression for Large-Scale Constrained Optimization in Cancer Radiotherapy,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95748,medical_healthcare,neural_network,https://openreview.net/forum?id=ItzD2Cnu9y
ReactZyme: A Benchmark for Enzyme-Reaction Prediction,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97442,chemistry,transformer,https://openreview.net/forum?id=xepxnDQoGq
realSEUDO for real-time calcium imaging analysis,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94683,multidisciplinary,neural_network,https://openreview.net/forum?id=Ye0O4Nyn21
Re-assembling the past: The RePAIR dataset and benchmark for real world 2D and 3D puzzle solving,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97584,multidisciplinary,,https://openreview.net/forum?id=fgJ9OvJPZB
Recurrent neural network dynamical systems for biological vision,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94629,neuroscience,recurrent_neural_network,https://openreview.net/forum?id=ZZ94aLbMOK
ReMAP: Neural Model Reprogramming with Network Inversion and Retrieval-Augmented Mapping for Adaptive Motion Forecasting,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94338,medical_healthcare,neural_network,https://openreview.net/forum?id=dVqZ0a7LdP
RandNet-Parareal: a time-parallel PDE solver using Random Neural Networks,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96326,physics,neural_network,https://openreview.net/forum?id=974ojuN0jU
